"Id","Response"
4648,1
32265,3
78210,1
18058,4
11206,1
47503,7
51910,2
8718,5
65327,8
18689,7
11780,5
1361,8
63,8
7106,6
8184,7
8029,3
47495,2
73876,2
44633,6
1209,3
21103,5
2520,8
44630,5
46087,1
4069,8
54441,4
4142,8
17407,4
981,8
44737,8
6272,6
52623,6
9035,7
65221,6
1722,5
65008,5
72684,7
68894,4
5576,2
64615,5
41007,8
4590,5
24981,7
6143,6
51009,8
23634,7
36445,6
39061,4
46852,7
68241,5
17757,4
70901,7
55709,2
39342,7
4063,2
66996,4
14475,7
25945,8
10470,7
67801,4
37206,8
18871,4
16083,7
55921,6
19440,5
7099,1
12716,5
39664,4
54048,6
55599,8
39205,8
13794,5
45696,8
62511,4
70093,7
1515,5
6035,8
77547,8
6048,7
16398,4
63191,8
39099,8
8715,6
14607,8
67690,7
64802,7
45343,7
66832,1
38117,6
20895,7
21109,6
11357,7
52803,7
53752,5
180,6
42089,3
52412,8
63600,8
10910,1
693,2
69656,3
55383,4
31474,1
36005,7
59260,5
28762,6
15760,7
26833,2
66936,7
28964,7
68466,2
54196,3
42612,3
7081,2
41170,8
24581,1
40136,4
41256,1
42867,7
14721,7
77338,4
14765,5
61666,2
37597,3
65842,8
72732,8
77434,5
19082,6
16828,4
1045,5
86,8
77565,8
3133,2
7602,6
37877,6
4677,8
41141,2
330,2
56288,3
49142,8
46155,5
7776,2
63066,8
45830,5
43509,6
49365,7
5086,6
44995,8
76707,4
29538,8
43646,2
30053,1
34476,1
43712,1
53926,5
40690,8
21394,4
25700,3
52610,8
77834,1
14322,6
10329,2
3510,8
2517,8
14945,4
48336,4
4110,4
30002,4
67197,3
53949,7
27688,5
42861,4
21923,5
39597,3
42910,3
44287,4
13206,5
13259,8
65869,2
68865,8
53196,8
44431,7
44441,4
1517,6
2066,1
8951,1
67507,2
1574,7
166,3
26535,1
225,4
30914,8
69119,6
57745,7
69184,5
4762,1
31014,8
12215,7
22404,8
13736,5
40258,3
31137,8
4891,7
21026,2
4995,1
60760,8
77953,7
45005,8
13933,3
43599,3
42102,6
56649,3
38904,6
694,8
703,5
40540,1
18398,4
40574,4
69653,3
27136,4
18427,7
51100,4
65319,3
71256,5
56496,4
26354,8
17354,4
1089,4
31697,7
18683,8
14474,8
54240,8
8554,8
54333,5
45625,5
65739,6
31943,5
5797,8
67280,6
41302,8
36517,7
8762,2
50240,4
45816,1
27885,3
45847,5
10352,5
54628,5
58966,3
19202,2
59039,3
19243,1
45944,3
45988,1
6162,4
30944,2
77669,1
72088,8
54945,6
50671,3
57811,8
64905,5
15333,4
46228,3
1922,5
15368,6
1985,8
42036,7
65035,3
40428,4
6538,7
47926,3
15575,6
12554,7
48065,8
2205,8
24200,8
72590,8
33014,4
42340,1
46692,8
11203,5
15785,8
15803,7
2399,8
15808,8
24344,4
70861,6
9829,8
15868,1
2521,8
1069,5
15925,4
20088,7
46903,1
20122,4
59951,7
46934,8
51449,7
58641,6
2681,7
47111,6
7247,1
48716,1
68855,5
2917,3
11754,5
47326,4
20512,3
29349,3
7472,5
16390,4
47472,8
3199,3
25042,8
19342,5
7654,8
3312,6
47641,1
47642,6
43323,8
25175,7
73595,8
20907,6
38546,6
60627,8
16640,2
66234,1
16685,4
43447,2
64982,8
13806,2
43488,8
2002,1
47844,5
46372,5
29945,7
47947,5
29983,1
8072,6
52443,8
8073,7
21251,8
17055,8
21365,7
48089,5
39075,5
34543,8
39091,2
48136,4
55478,5
17213,4
68252,8
30153,6
61115,6
24357,8
14342,8
8357,1
56973,2
39319,7
4038,3
69990,8
48426,8
57117,1
48461,1
39508,8
78587,8
61542,6
26097,1
67215,4
61586,6
48649,7
21996,7
57388,6
44337,7
65831,7
42950,1
22042,8
48727,7
54,7
78777,4
48789,1
74712,5
66030,2
44616,1
4646,5
40087,6
66123,4
352,3
9158,6
35449,8
49124,8
49140,1
31065,2
56395,1
40250,5
57850,7
35544,7
53614,3
26866,6
22440,1
502,5
44875,4
18192,8
47819,5
9320,6
70902,6
62244,5
31290,4
9402,5
45071,1
62370,7
22703,1
14123,1
53939,4
3824,8
9625,4
35975,7
18479,1
9650,3
22842,8
49685,5
49698,6
18558,7
18570,1
75538,1
49766,4
71339,1
5460,8
5461,4
66925,8
75589,8
71414,3
45450,7
5541,8
9890,7
23064,2
49925,2
71472,7
49945,8
58556,8
41037,5
14550,1
74351,2
14572,2
45601,7
23164,4
67132,1
62803,8
5697,8
36397,6
18932,8
50114,1
45677,4
23294,8
32014,8
5817,8
10222,6
51727,5
63007,8
71799,8
36644,4
32158,8
50350,6
50375,7
27968,3
10418,8
67587,8
36815,8
50476,8
284,3
46041,2
50562,4
46064,2
10552,8
10562,4
6264,3
32472,5
54967,6
54975,3
57816,5
59350,5
66319,7
4985,1
19623,1
19628,3
67940,1
18291,5
2080,1
28496,1
15507,8
59534,7
10926,8
32877,5
59607,5
51070,6
59655,3
63788,4
19847,4
11112,1
11124,5
2313,6
37596,1
6888,3
11231,4
6909,1
15824,4
36108,1
77015,1
6937,7
72777,7
6980,4
2523,6
22979,3
77101,4
11383,3
64099,4
51504,1
7137,3
29123,1
41126,7
73042,6
24602,8
37994,1
20343,8
24734,1
55982,3
50198,8
20428,1
7414,2
77452,8
11792,5
51827,1
11842,1
77495,2
43061,2
38237,4
11891,6
7515,5
77520,8
11913,1
77551,8
64618,7
24971,2
24988,7
51956,6
64758,1
52027,8
12094,8
69204,5
77775,1
38574,4
12246,3
25232,5
47802,8
15408,7
3529,1
63515,3
56579,5
38820,7
12452,3
52411,8
65137,4
43674,3
30017,5
78101,1
17075,6
25598,8
78138,1
39031,4
3794,1
52561,5
56842,5
52608,2
52611,8
12720,3
12758,8
52659,6
65346,8
78290,7
17300,7
52758,7
25874,8
74231,6
4055,7
65491,7
12956,8
78482,4
44081,4
48520,2
52938,3
4225,7
13044,7
24638,7
7234,5
13142,8
35056,5
39633,8
35066,6
13235,3
13271,5
78764,8
53166,4
22084,8
57485,1
78958,1
53300,5
53316,3
17922,8
26570,1
44635,7
294,4
17998,6
341,1
49100,3
40131,8
13649,8
40150,8
427,7
66228,8
31070,8
442,6
53584,2
